Category,ProductName,Bloomberg Ticker,Brand,Store Type,SWA_Category 1,SWA_Category 2,YearMonth,Year,Month,Sales Unit,Sales Value
Stock,Founder Tech,600601 CH EQUITY,Founder/方正,3rd Party,Office equipment/office supplies/related services/办公设备/办公耗材/相关服务,Scanner/扫描仪,201707,2017,7,104,111839
Stock,Baoxiniao,002154 CH EQUITY,CAMICISSIMA/恺米切,Official Store,Mens's Branded Apparel/精品男装,Short-sleeved Shirt/短袖衬衫,201708,2017,8,266,278660
Stock,Anji,603696 CH EQUITY,Anji/安记,Official Store,Cereal & Condiment/粮油调味,Condiment/调味品,201708,2017,8,8549,195546
Stock,Whirlpool China,600983 CH EQUITY,Royalstar/荣事达,3rd Party,Small Home Appliance/生活电器,Steam Brush/Dry Brush/蒸汽刷/干洗刷,201708,2017,8,59,5192
Stock,Gujing Distillery,000596 CH EQUITY,古井,3rd Party,Wine/美酒,Chinese Liquor/中国白酒,201707,2017,7,148,29433
Stock,Huijie,002763 CH EQUITY,SecretWeapon/秘密武器,Official Store,Women's Branded Apparel/品牌女装,Warm Pants/保暖裤,201708,2017,8,5,463
Stock,Labi,002762 CH EQUITY,I LOVE BB/下一代,Official Store,Lingerie/Men's Underwear/女士内衣/男士内衣/家居服,Children's Underwear/儿童内衣专区,201708,2017,8,76,9844
Stock,Yili,600887 CH EQUITY,Yili/伊利,3rd Party,Snacks/休闲零食,Nuts Roasted Seeds and Nuts/坚果炒货,201708,2017,8,16,1081
Stock,Eerduosi,600295 CH EQUITY,ERDOS/鄂尔多斯,Official Store,Women's Branded Apparel/品牌女装,Woolen Coat/毛呢外套,201708,2017,8,116,606640
Stock,Mogao,600543 CH EQUITY,Mogao/莫高,3rd Party,Imported food/进口食品,Imported Wine/进口酒,201708,2017,8,4622.607907,444687
Stock,Qiaqia Food,002557 CH EQUITY,小康,Official Store,Snacks/休闲零食,Other/其它,201708,2017,8,64,281
Stock,Greatwall Tech,000066 CH EQUITY,GreatWall/长城,3rd Party,Snacks/休闲零食,Instant Meat/肉类即食,201708,2017,8,112,1333
Stock,Fuling Zhacai,002507 CH EQUITY,乌江,Official Store,Fresh fruit/生鲜水果,Seafood/海鲜水产,201708,2017,8,937,17601
Stock,Meida Industrial,002677 CH EQUITY,Meida/美大,Official Store,Major Home Appliance/大家电,Integrated Oven/集成灶,201707,2017,7,26,236905
Stock,Tsinghua Tongfang,600100 CH EQUITY,THTG/清华同方,Official Store,Laptop/笔记本,Ultrabook/超级本,201708,2017,8,67,143983
Stock,Shanghai Maling,600073 CH EQUITY,冠生园,Official Store,Traditional nutrition/传统滋补营养品,Honey/Royal Jelly/Bee Products/蜂蜜/蜂皇浆/蜂产品,201708,2017,8,18250,892864
Stock,Quanjude,002186 CH EQUITY,全聚德,3rd Party,Snacks/休闲零食,Instant Meat/肉类即食,201708,2017,8,1450,95994
Stock,Angel Yeast,600298 CH EQUITY,Angel Nutritech/安琪纽特,3rd Party,Dietary supplement/保健食品/膳食营养补充食品,N/A,201708,2017,8,4,152
Stock,Lonkey Industrial,000523 CH EQUITY,Hibbo,Official Store,Baby supplies/宝宝用品,Wipes/Wipes Heating/湿巾/湿巾加热,201708,2017,8,1139,53467
