Key,BrandId,BrandName,Brand,FinancialType,ProductName,BloombergTicker
keon/奇强,41213204,Keon/奇强,Keon/奇强,Stock,Nafine Chem,000737 CH EQUITY
aquarius/正广和,4041052,Aquarius/正广和,Aquarius/正广和,Stock,Shanghai Maling,600073 CH EQUITY
founder/方正,21461,Founder/方正,Founder/方正,Stock,Founder Tech,600601 CH EQUITY
macro/万家乐,31683,Macro/万家乐,Macro/万家乐,Stock,Guangdong Macro,000533 CH EQUITY
今世缘,4644093,今世缘,今世缘,Stock,King's Luck Brewery,603369 CH EQUITY
vanward/万和,30840,Vanward/万和,Vanward/万和,Stock,Vanward Electric,002543 CH EQUITY
东易日盛,72980942,东易日盛,东易日盛,Stock,Dong Yi Ri Sheng,002713 CH EQUITY
camicissima/恺米切,829108319,CAMICISSIMA/恺米切,CAMICISSIMA/恺米切,Stock,Baoxiniao,002154 CH EQUITY
littleswan/小天鹅,30657,Littleswan/小天鹅,Littleswan/小天鹅,Stock,Midea,000333 CH EQUITY
潮流前线,111896,潮流前线,潮流前线,Stock,Sou Yu Te,002503 CH EQUITY
royalstar/荣事达,30654,Royalstar/荣事达,Royalstar/荣事达,Stock,Whirlpool China,600983 CH EQUITY
维维,3788315,维维,维维,Stock,VV food,600300 CH EQUITY
haday/海天,3250190,HADAY/海天,HADAY/海天,Stock,Haitian Flavouring,603288 CH EQUITY
kelon/科龙,30651,Kelon/科龙,Kelon/科龙,Stock,Hisense Kelon,000921 CH EQUITY
conant/康耐特,95027373,Conant/康耐特,Conant/康耐特,Stock,Conant Optics,300061 CH EQUITY
tea beauty/茶颜,296464269,Tea Beauty/茶颜,Tea Beauty/茶颜,Stock,Shanghai Jahwa,600315 CH EQUITY
annil/安奈儿,4222667,Annil/安奈儿,Annil/安奈儿,Stock,Annil,002875 CH EQUITY
tosot/大松,528788281,TOSOT/大松,TOSOT/大松,Stock,Gree,000651 CH EQUITY
燕京,3230031,燕京,燕京,Stock,Yanjing Beer,000729 CH EQUITY
和酒,4536414,和酒,和酒,Stock,Jinfeng Wine,600616 CH EQUITY
erdos/鄂尔多斯,29481,Erdos/鄂尔多斯,ERDOS/鄂尔多斯,Stock,Eerduosi,600295 CH EQUITY
threegun/三枪,43251,THREEGUN/三枪,THREEGUN/三枪,Stock,Shanghai Dragon,600630 CH EQUITY
