Key,BrandId,BrandName,Brand,FinancialType,ProductName,BloombergTicker
卡迪娜,3798739,卡迪娜,KADINA/卡迪娜,Stock,Harson Trading,603958 CH EQUITY
三雄极光,3608746,三雄极光,PAK/三雄极光,Stock,PAK,300625 CH EQUITY
queen,44916,Queen/女王,Queen/皇后,Stock,Shanghai Dragon,600630 CH EQUITY
家安,62614482,Home Aegis/家安,HomeAegis/家安,Stock,Shanghai Jahwa,600315 CH EQUITY
步步高,27726,BBK/步步高,Better Life/步步高,Stock,Better Life,002251 CH EQUITY
伊利,20328,伊利,Yili/伊利,Stock,Yili,600887 CH EQUITY
多喜爱,1535533307,DUOXIAI/多喜爱,Dohia/多喜爱,Stock,Dohia home,002761 CH EQUITY
得利斯,4519643,得利斯,Delisi/得利斯,Stock,Delisi,002330 CH EQUITY
通化,110291,通化,TONHWA/通化,Stock,Tonghua Grape Wine,600365 CH EQUITY
皇后,3296041,皇后,Queen/皇后,Stock,Shanghai Dragon,600630 CH EQUITY
haixin,15801771,Haixin,HAIXIN/海欣 ,Stock,Haixin Foods,002702 CH EQUITY
schmidt,3480685,SCHMIDT,Schmidt/司米橱柜,Stock,Suofeiya,002572 CH EQUITY
易美逊,3264684,易美逊,Envision/易美逊,Stock,AOC,00903 CH EQUITY
marcolor,1363540267,MARCOLOR,MarColor/马卡乐,Stock,Semir,002563 CH EQUITY
碧云泉,798424353,碧云泉,Bewinch/碧云泉,Stock,KingClean Electric,603355 CH EQUITY
安记,7014697,安记,Anji/安记,Stock,Anji,603696 CH EQUITY
aglaia,8756521,AGLAIA/雅格丽白,Aglaia/艾格莱雅,Stock,Deli Household Glass,002571 CH EQUITY
tesiro,64869708,TESiRO/通灵,TESIRO/通灵珠宝,Stock,TESIRO,603900 CH EQUITY
金徽,119566817,金徽,Jinhui/金徽,Stock,Jinhui,603919 CH EQUITY
goldlok,19331882,GOLDLOK,Goldlok/高乐,Stock,Goldlok Toys,002348 CH EQUITY
泸州老窖,4537002,泸州老窖,Luzhou Laojiao/泸州老窖,Stock,Luzhou Laojiao,000568 CH EQUITY
茶花,3472186,茶花,Chahua/茶花,Stock,Chahua,603615 CH EQUITY
yankon,126494120,YANKON/阳光,Yankon/阳光照明,Stock,Yankon,600261 CH EQUITY
清华同方,21666,清华同方,THTG/清华同方,Stock,Tsinghua Tongfang,600100 CH EQUITY
kennede,117351703,kennede,Kennede/金莱特,Stock,Kennede,002723 CH EQUITY
惠达,42642,惠达,Huida/惠达,Stock,Huida,603385 CH EQUITY
汤臣倍健,3577479,BY－HEALTH/汤臣倍健,By-health/汤臣倍健,Stock,By-health,300146 CH EQUITY
雨洁,4207334,雨洁,RACLEN/雨洁,Stock,Lafang,603630 CH EQUITY
顾家家居,45541,KUKa/顾家家居,Kuka Home/顾家家居,Stock,Jason Furniture,603816 CH EQUITY
好想你,110416,好想你,Haoxiangni/好想你,Stock,Haoxiangni Jujube,002582 CH EQUITY
萤石,21124,萤石,Ezviz/萤石,Stock,Hikvision,002415 CH EQUITY
国风,3229893,国风,Growful/国风,Stock,Shanghai Pharmacy,601607 CH EQUITY
下一代,45456,下一代,I LOVE BB/下一代,Stock,Labi,002762 CH EQUITY
美大,6260441,美大,Meida/美大,Stock,Meida Industrial,002677 CH EQUITY
天佑德,8610368,天佑德,Tianyoude/天佑德,Stock,Huzhu Barley Wine,002646 CH EQUITY
亿康,1857938231,亿康,ECAN/亿康,Stock,Liangmianzhen,600249 CH EQUITY
安琪纽特,1771524035,ANGEL NUT/安琪纽特,Angel Nutritech/安琪纽特,Stock,Angel Yeast,600298 CH EQUITY
浪莎,3227274,浪莎,LangSha/浪莎,Stock,Langsha,600137 CH EQUITY
yolanna,266874880,YOLANNA/意&middot;欧恋纳,Yolanna/意欧恋娜,Stock,Luolai Lifestyle,002293 CH EQUITY
金莱特,11663150,金莱特,Kennede/金莱特,Stock,Kennede,002723 CH EQUITY
贝比拉比,3324837,贝比拉比,Beibi Labi/贝比拉比,Stock,Labi,002762 CH EQUITY
梦多多,586706230,mongdodo/梦多多,Mengdodo/梦多多,Stock,Semir,002563 CH EQUITY
秘密武器,985864015,SECRET WEAPON/秘密武器,SecretWeapon/秘密武器,Stock,Huijie,002763 CH EQUITY
material girl,9793830,material girl,Material Girl/玛蒂丽尔,Stock,Peacebird,603877 CH EQUITY
三全,7307074,三全,Sanquan/三全,Stock,Sanquan Food,002216 CH EQUITY
eichitoo,94371212,Eichitoo/H兔,Eichitoo/爱居兔,Stock,Heilan,600398 CH EQUITY
tommee tippee,3841225,Tommee Tippee,Tommee Tippee/汤美天地,Stock,Shanghai Jahwa,600315 CH EQUITY
维莎,3692191,维莎,VERSAI/维莎,Stock,Fuanna,002327 CH EQUITY
黑牛,3565563,黑牛,BLACKCOW/黑牛,Stock,Blackcow Food,002387 CH EQUITY
群兴,3650521,群兴,Qunxing/群兴,Stock,Qunxing Toys,002575 CH EQUITY
唯路时,1691070713,JONAS&amp;VERUS/唯路时,JONAS&VERUS/唯路时,Stock,Fiyta,000026 CH EQUITY
盐津铺子,6947789,盐津铺子,Yanker Shop/盐津铺子,Stock,Yanker Shop,002847 CH EQUITY
lovo,6197541,lovo,Lovo/乐我,Stock,Luolai Lifestyle,002293 CH EQUITY
爱仕达,3222885,ASD/爱仕达,Aishida/爱仕达,Stock,Aishida Electric,002403 CH EQUITY
unis,31596628,UNIS/紫光,UNIS/紫光 ,Stock,Tsinghua Unisplendour,000938 CH EQUITY
萃华,10520254,萃华,Cuihua/萃华,Stock,Shenyang Cuihua,002731 CH EQUITY
六神,3290337,六神,Liushen/六神,Stock,Shanghai Jahwa,600315 CH EQUITY
canature,217738700,Canature/奔泰,Canature/开能,Stock,Canature,300272 CH EQUITY
朗姿,10625456,LANCY FROM 25/朗姿,Lancy/朗姿,Stock,Lancy,002612 CH EQUITY
自然之宝,3583923,Nature&rsquo;s Bounty/自然之宝,Naturesbounty/自然之宝,Stock,By-health,300146 CH EQUITY
hazzys,4099493,Hazzys,HAZZYS/哈吉斯,Stock,Baoxiniao,002154 CH EQUITY
