Category,ProductName,Bloomberg Ticker,Brand,Store Type,SWA_Category 1,SWA_Category 2,YearMonth,Year,Month,Sales Unit,Sales Value
Stock,Guyuelongshan,600059 CH EQUITY,沈永和,3rd Party,Wine/美酒,Warm Body Wine/暖身黄酒,201703,2017,3,203,5791
Stock,Anzheng Fashion,603839 CH EQUITY,尹默,Official Store,Women's Branded Apparel/品牌女装,Vest/马夹,201708,2017,8,2,1336
Stock,Shunxin Agriculture,000860 CH EQUITY,岛城鹏程,3rd Party,Snacks/休闲零食,Instant Meat/肉类即食,201707,2017,7,220,8690
Stock,ELLASSAY,603808 CH EQUITY,Ed Hardy ,Official Store,Women's Branded Apparel/品牌女装,Suspender / Vest/吊带/背心,201708,2017,8,16,10132
Stock,Semir,002563 CH EQUITY,It MICHAA,Official Store,Women's Branded Apparel/品牌女装,Windbreaker/风衣,201708,2017,8,16,22010
Stock,Anzheng Fashion,603839 CH EQUITY,Annakro/安娜蔻,Official Store,Women's Branded Apparel/品牌女装,Vest/马夹,201703,2017,3,135,60128
Stock,Chalkis Health,000972 CH EQUITY,Chalkis/中基,Official Store,Snacks/休闲零食,Jujube/大枣/红枣,201707,2017,7,1,41
Stock,Dohia home,002761 CH EQUITY,Lebilp/乐倍康,Official Store,Women's Branded Apparel/品牌女装,Business Suit/职业套装,201708,2017,8,809,103597
Stock,Semir,002563 CH EQUITY,Minette,Official Store,Women's Branded Apparel/品牌女装,T-shirt/T恤,201708,2017,8,1,90
Stock,Baoxiniao,002154 CH EQUITY,TOMBOLINI/东博利尼,3rd Party,Residential furniture/office furniture/住宅家具/办公家具,Restaurant/餐厅,201708,2017,8,28,12826
Stock,Huzhu Barley Wine,002646 CH EQUITY,马克斯威,3rd Party,Imported food/进口食品,Imported Wine/进口酒,201708,2017,8,7,1106
Stock,Gansu Gangtai,600687 CH EQUITY,米莱彩宝,Official Store,Jewelry/Diamond/Jade/Gold/珠宝/钻石/翡翠/黄金,Tourmaline Ring/碧玺戒指,201708,2017,8,14,52938
Stock,Golden Seed Winery,600199 CH EQUITY,和泰,3rd Party,Hardware tools/五金/工具,Instruments & Apparatuses/仪器仪表,201708,2017,8,4,36343
Stock,Gansu Gangtai,600687 CH EQUITY,KELA/珂兰,Official Store,Jewelry/Diamond/Jade/Gold/珠宝/钻石/翡翠/黄金,Wedding Ring/结婚钻戒,201708,2017,8,447,492608
Stock,Royal Group,002329 CH EQUITY,皇氏乳业,3rd Party,Drinks/冲饮,Dairy/乳制品,201708,2017,8,6,258
Stock,Gaugen,870909 CH EQUITY,味立方,3rd Party,Cereal & Condiment/粮油调味,Condiment/调味品,201707,2017,7,141,2381
Stock,Anzheng Fashion,603839 CH EQUITY,MICHELLE MOISSAC/摩萨克,Official Store,Women's Branded Apparel/品牌女装,Vest/马夹,201708,2017,8,1,552
Stock,Chengde Lolo,000848 CH EQUITY,Lolo/露露,Official Store,Drinks/冲饮,Drink/Vegetable Juice/Water/饮料/蔬果汁/水,201708,2017,8,2548,201125
Stock,Shanghai Maling,600073 CH EQUITY,联豪食品,Official Store,Kitchen/dining utensils/厨房/餐饮用具,Porcelain/Cutlery/瓷器/餐具,201708,2017,8,106,1049
Stock,Markor International,600337 CH EQUITY,美克美家,Official Store,Tmall Books/天猫图书,Fiction/小说,201708,2017,8,1,3519
