RTId,ExtIdType,ExtId,BeginDate,EndDate,Alias
6000001,2,A9905-DCE,1999-01-04,1999-01-15,A.DCE
6000001,2,A9907-DCE,1999-01-18,1999-03-01,A.DCE
6000001,2,A9909-DCE,1999-03-02,1999-06-08,A.DCE
6000001,2,A0005-DCE,1999-06-09,1999-11-17,A.DCE
6000001,2,A0007-DCE,1999-11-18,1999-11-30,A.DCE
6000001,2,A0009-DCE,1999-12-01,1999-12-29,A.DCE
6000001,2,A0009-DCE,2000-01-05,2000-01-10,A.DCE
6000001,2,A0009-DCE,2000-01-12,2000-04-20,A.DCE
6000001,2,A0009-DCE,2000-04-24,2000-05-29,A.DCE
6000001,2,A0101-DCE,2000-05-30,2000-08-31,A.DCE
6000001,2,A0105-DCE,2000-09-01,2001-02-05,A.DCE
6000001,2,A0107-DCE,2001-02-06,2001-02-13,A.DCE
6000001,2,A0109-DCE,2001-02-14,2001-06-15,A.DCE
6000001,2,A0201-DCE,2001-06-18,2001-08-08,A.DCE
6000001,2,A0205-DCE,2001-08-09,2001-08-31,A.DCE
6000001,2,A0207-DCE,2001-09-03,2001-10-23,A.DCE
6000001,2,A0209-DCE,2001-10-24,2001-12-28,A.DCE
6000001,2,A0205-DCE,2001-12-29,2001-12-29,A.DCE
6000001,2,A0205-DCE,2002-01-08,2002-01-10,A.DCE
6000001,2,A0209-DCE,2002-01-11,2002-02-19,A.DCE
6000001,2,A0209-DCE,2002-02-26,2002-07-16,A.DCE
6000001,2,A0211-DCE,2002-07-17,2002-08-26,A.DCE
6000001,2,A0301-DCE,2002-08-27,2002-09-28,A.DCE
6000001,2,A0301-DCE,2002-10-09,2002-11-20,A.DCE
6000001,2,A0305-DCE,2002-11-21,2003-01-10,A.DCE
6000001,2,A0309-DCE,2003-01-13,2003-07-28,A.DCE
6000001,2,A0311-DCE,2003-07-29,2003-08-14,A.DCE
6000001,2,A0401-DCE,2003-08-15,2003-10-10,A.DCE
6000001,2,A0405-DCE,2003-10-13,2004-02-12,A.DCE
6000001,2,A0409-DCE,2004-02-13,2004-07-07,A.DCE
6000001,2,A0411-DCE,2004-07-08,2004-09-03,A.DCE
6000001,2,A0501-DCE,2004-09-06,2004-11-15,A.DCE
6000001,2,A0505-DCE,2004-11-16,2005-03-04,A.DCE
6000001,2,A0509-DCE,2005-03-07,2005-07-05,A.DCE
6000001,2,A0511-DCE,2005-07-06,2005-07-22,A.DCE
6000001,2,A0601-DCE,2005-07-25,2005-10-24,A.DCE
6000001,2,A0605-DCE,2005-10-25,2006-01-27,A.DCE
6000001,2,A0605-DCE,2006-02-06,2006-02-13,A.DCE
6000001,2,A0609-DCE,2006-02-14,2006-08-14,A.DCE
6000001,2,A0701-DCE,2006-08-15,2006-10-30,A.DCE
6000001,2,A0705-DCE,2006-10-31,2007-01-29,A.DCE
6000001,2,A0709-DCE,2007-01-30,2007-05-28,A.DCE
6000001,2,A0801-DCE,2007-05-29,2007-08-06,A.DCE
6000001,2,A0805-DCE,2007-08-07,2007-11-14,A.DCE
6000001,2,A0809-DCE,2007-11-15,2008-02-25,A.DCE
6000001,2,A0901-DCE,2008-02-26,2008-10-14,A.DCE
6000001,2,A0905-DCE,2008-10-15,2009-01-07,A.DCE
6000001,2,A0909-DCE,2009-01-08,2009-04-13,A.DCE
6000001,2,A1001-DCE,2009-04-14,2009-07-06,A.DCE
6000001,2,A1005-DCE,2009-07-07,2009-10-23,A.DCE
6000001,2,A1009-DCE,2009-10-26,2010-04-21,A.DCE
6000001,2,A1101-DCE,2010-04-22,2010-07-20,A.DCE
6000001,2,A1105-DCE,2010-07-21,2010-10-22,A.DCE
6000001,2,A1109-DCE,2010-10-25,2010-12-31,A.DCE
6000001,2,A1201-DCE,2011-01-04,2011-07-13,A.DCE
6000001,2,A1205-DCE,2011-07-14,2011-10-24,A.DCE
6000001,2,A1209-DCE,2011-10-25,2012-03-20,A.DCE
6000001,2,A1301-DCE,2012-03-21,2012-06-19,A.DCE
6000001,2,A1305-DCE,2012-06-20,2013-01-31,A.DCE
6000001,2,A1309-DCE,2013-02-01,2013-06-06,A.DCE
6000001,2,A1401-DCE,2013-06-07,2013-10-15,A.DCE
6000001,2,A1405-DCE,2013-10-16,2013-12-30,A.DCE
6000001,2,A1409-DCE,2013-12-31,2014-03-25,A.DCE
6000001,2,A1501-DCE,2014-03-26,2014-11-24,A.DCE
6000001,2,A1505-DCE,2014-11-25,2015-04-08,A.DCE
6000001,2,A1509-DCE,2015-04-09,2015-06-15,A.DCE
6000001,2,A1601-DCE,2015-06-16,2015-11-04,A.DCE
6000001,2,A1605-DCE,2015-11-05,2016-03-08,A.DCE
6000001,2,A1609-DCE,2016-03-09,2016-07-13,A.DCE
6000001,2,A1701-DCE,2016-07-14,2016-11-28,A.DCE
6000001,2,A1705-DCE,2016-11-29,2017-03-22,A.DCE
6000001,2,A1709-DCE,2017-03-23,2017-04-12,A.DCE
