RTId,Uid,Eid,WindCode,TDBCode,Exchange,Product,Description,FinancialType,TickSize,TradingUnit,SubType,AmOpen,AmClose,PmOpen,PmClose,EveOpen,EveClose,DelistDate,DaysToExpire,FeeInDollar,FeeInBasis,MarginRatio,Status,OpenFeePerLot,OpenFeePerDollar,CloseFeePerLot,CloseFeePerDollar,CloseTodayFeePerLot,CloseTodayFeePerDollar,DomainFlag
6000001,A1709-DCE,a1709,A1709.DCE,a1709.DCE,DCE,A,Soybean1,comdty,1,10.000000000,703001008,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,NaN,NaN,2017-09-14,NaN,2.000000000,0.000000000,0.100000000,Normal,2.400000000,0.000000000,2.400000000,0.000000000,2.400000000,0.000000000,1
6000002,A1705-DCE,a1705,A1705.DCE,a1705.DCE,DCE,A,Soybean1,comdty,1,10.000000000,703001008,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,NaN,NaN,2017-05-15,NaN,2.000000000,0.000000000,0.100000000,Normal,2.400000000,0.000000000,2.400000000,0.000000000,2.400000000,0.000000000,0
6000101,AG1706-SHF,ag1706,AG1706.SHF,ag1706.SHF,SHF,AG,Silver,comdty,1,15.000000000,703001001,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,2017-04-11 22:00:00,2017-04-12 02:30:00,2017-06-15,NaN,0.000000000,0.250000000,0.170000000,Normal,0.000000000,0.000060500,0.000000000,0.000060500,0.000000000,0.000060500,1
6000201,AL1706-SHF,al1706,AL1706.SHF,al1706.SHF,SHF,AL,Aluminium,comdty,5,5.000000000,703001002,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,NaN,NaN,2017-06-15,NaN,1.500000000,0.000000000,0.110000000,Normal,3.600000000,0.000000000,3.600000000,0.000000000,0.000000000,0.000000000,1
6000202,AL1705-SHF,al1705,AL1705.SHF,al1705.SHF,SHF,AL,Aluminium,comdty,5,5.000000000,703001002,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,NaN,NaN,2017-05-15,NaN,1.500000000,0.000000000,0.110000000,Normal,3.600000000,0.000000000,3.600000000,0.000000000,0.000000000,0.000000000,0
6000301,AU1706-SHF,au1706,AU1706.SHF,au1706.SHF,SHF,AU,Gold,comdty,0.05,1000.000000000,703001001,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,2017-04-11 22:00:00,2017-04-12 02:30:00,2017-06-15,NaN,5.000000000,0.000000000,0.170000000,Normal,12.000000000,0.000000000,12.000000000,0.000000000,0.000000000,0.000000000,1
6000401,B1801-DCE,b1801,B1801.DCE,b1801.DCE,DCE,B,Soybean2,comdty,1,10.000000000,703001008,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,NaN,NaN,2018-01-17,NaN,2.000000000,0.000000000,0.180000000,Normal,2.400000000,0.000000000,2.400000000,0.000000000,2.400000000,0.000000000,1
6000402,B1711-DCE,b1711,B1711.DCE,b1711.DCE,DCE,B,Soybean2,comdty,1,10.000000000,703001008,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,NaN,NaN,2017-11-14,NaN,2.000000000,0.000000000,0.180000000,Normal,2.400000000,0.000000000,2.400000000,0.000000000,2.400000000,0.000000000,0
6000501,BB1712-DCE,bb1712,BB1712.DCE,bb1712.DCE,DCE,BB,Blockboard,comdty,0.05,500.000000000,703001004,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,NaN,NaN,2017-12-14,NaN,2.000000000,0.000000000,0.230000000,Normal,0.000000000,0.000120600,0.000000000,0.000120600,0.000000000,0.000060500,1
6000502,BB1711-DCE,bb1711,BB1711.DCE,bb1711.DCE,DCE,BB,Blockboard,comdty,0.05,500.000000000,703001004,2017-04-12 09:00:00,2017-04-12 11:30:00,2017-04-12 13:30:00,2017-04-12 15:00:00,NaN,NaN,2017-11-14,NaN,2.000000000,0.000000000,0.230000000,Normal,0.000000000,0.000120600,0.000000000,0.000120600,0.000000000,0.000060500,0
