
   1 Uid,Sid,ActiveRank,Eid,TDBCode,WindCode,Exchange,Product,Description,FinancialType,TickSize,TradingUnit,AmOpen,AmClose,PmOpen,PmClose,EveOpen,EveClose,ListDate,DelistDate,ExpireDate,       DaysToExpire,FeeInDollar,FeeInBasis,MarginRatio,Status
   2 A1509-DCE-futures,NaN,-10000,a1509,a1509.DCE,A1509.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2014-03-     17,2015-09-16,2015-09-16,3,2.0000,0.0000,0.1000,Normal
   3 A1511-DCE-futures,NaN,-10000,a1511,a1511.DCE,A1511.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2014-05-     19,2015-11-13,2015-11-13,40,2.0000,0.0000,0.1000,Normal
   4 A1601-DCE-futures,NaN,-10000,a1601,a1601.DCE,A1601.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2014-07-     15,2016-01-15,2016-01-15,85,2.0000,0.0000,0.1000,Normal
   5 A1603-DCE-futures,NaN,-10000,a1603,a1603.DCE,A1603.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2014-09-     16,2016-03-14,2016-03-14,126,2.0000,0.0000,0.1000,Normal
   6 A1605-DCE-futures,NaN,-10000,a1605,a1605.DCE,A1605.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2014-11-     17,2016-05-16,2016-05-16,171,2.0000,0.0000,0.1000,Normal
   7 A1607-DCE-futures,NaN,-10000,a1607,a1607.DCE,A1607.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2015-01-     19,2016-07-14,2016-07-14,214,2.0000,0.0000,0.1000,Normal
   8 A1609-DCE-futures,NaN,-10000,a1609,a1609.DCE,A1609.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2015-03-     16,2016-09-14,2016-09-14,258,2.0000,0.0000,0.1000,Normal
   9 A1611-DCE-futures,NaN,-10000,a1611,a1611.DCE,A1611.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2015-05-     18,2016-11-14,2016-11-14,301,2.0000,0.0000,0.1000,Normal
  10 A1701-DCE-futures,NaN,-10000,a1701,a1701.DCE,A1701.DCE,DCE,A,Soybean1,futures,1,10.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,NaN,NaN,2015-07-     15,2017-01-13,2017-01-13,345,2.0000,0.0000,0.1000,Normal
  11 AG1509-SHFE-futures,NaN,-10000,ag1509,ag1509.SHF,AG1509.SHF,SHFE,AG,Silver,futures,1,15.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,2015-09-10      22:00:00,2015-09-15 02:30:00,2014-09-16,2015-09-15,2015-09-15,2,0.0000,0.2500,0.1000,Normal
  12 AG1510-SHFE-futures,NaN,-10000,ag1510,ag1510.SHF,AG1510.SHF,SHFE,AG,Silver,futures,1,15.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,2015-09-10      22:00:00,2015-09-15 02:30:00,2014-10-16,2015-10-15,2015-10-15,19,0.0000,0.2500,0.1000,Normal
  13 AG1511-SHFE-futures,NaN,-10000,ag1511,ag1511.SHF,AG1511.SHF,SHFE,AG,Silver,futures,1,15.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,2015-09-10      22:00:00,2015-09-15 02:30:00,2014-11-18,2015-11-16,2015-11-16,41,0.0000,0.2500,0.1000,Normal
  14 AG1512-SHFE-futures,NaN,-10000,ag1512,ag1512.SHF,AG1512.SHF,SHFE,AG,Silver,futures,1,15.0000,2015-09-15 09:00:00,2015-09-15 11:30:00,2015-09-15 13:30:00,2015-09-15 15:00:00,2015-09-10      22:00:00,2015-09-15 02:30:00,2014-12-16,2015-12-15,2015-12-15,62,0.0000,0.2500,0.1000,Normal
