
    1 Uid,Eid,Sid,WindCode,Exchange,Product,Description,FinancialType,TickSize,TradingUnit,AmOpen,AmClose,PmOpen,PmClose,EveOpen,EveClose,FeeInDollar,FeeInBasis,TDBCode,Status,IsSuspend,         IsStStop,EnableMarket,IsHS300
    2 000001-SZ-stock,000001,000001-SZ-stock,000001.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000001.SZ,Normal,0,0,1,1
    3 000002-SZ-stock,000002,000002-SZ-stock,000002.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000002.SZ,Normal,0,0,1,1
    4 000004-SZ-stock,000004,000004-SZ-stock,000004.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000004.SZ,Normal,0,0,1,0
    5 000005-SZ-stock,000005,000005-SZ-stock,000005.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000005.SZ,Normal,1,0,0,0
    6 000006-SZ-stock,000006,000006-SZ-stock,000006.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000006.SZ,Normal,0,0,1,0
    7 000007-SZ-stock,000007,000007-SZ-stock,000007.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000007.SZ,Normal,0,0,1,0
    8 000008-SZ-stock,000008,000008-SZ-stock,000008.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000008.SZ,Normal,1,0,0,0
    9 000009-SZ-stock,000009,000009-SZ-stock,000009.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000009.SZ,Normal,0,0,1,1
   10 000010-SZ-stock,000010,000010-SZ-stock,000010.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000010.SZ,Normal,1,0,0,0
   11 000011-SZ-stock,000011,000011-SZ-stock,000011.SZ,SZ,STOCK,Shenzhen Stock,stock,0.0100,1,2015-09-15 09:30:00,2015-09-15 11:30:00,2015-09-15 13:00:00,2015-09-15 14:57:00,Nan,Nan,0,7,         000011.SZ,Normal,0,0,1,0
