BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
48481339,Hodo/红豆,Hodo/红豆,红豆,Hongdo,600400 CH EQUITY,54966017,睡袍,165,17746.999999999996
3306749,maxam/美加净,Maxam/美加净,美加净,Shanghai Jahwa,600315 CH EQUITY,54292573,护肤彩妆,10520,133591.20000000004
29462,Aokang/奥康,Aokang/奥康,奥康,Aokang,603001 CH EQUITY,50344028,坡跟单鞋,1102,196490.0
29462,Aokang/奥康,Aokang/奥康,奥康,Aokang,603001 CH EQUITY,54298754,板鞋,1168,337102.0
29462,Aokang/奥康,Aokang/奥康,奥康,Aokang,603001 CH EQUITY,54298752,高帮鞋,755,202625.0
11016,Haier/海尔,Haier/海尔,海尔,Haier,600690 CH EQUITY,50936008,吸尘器,26998,7259136.0
3565563,黑牛,BLACKCOW/黑牛,黑牛,Blackcow Food,002387 CH EQUITY,54968011,奶制品,2955,120821.4
11016,Haier/海尔,Haier/海尔,海尔,Haier,600690 CH EQUITY,50936007,厨房家电配件,2474,444987.5
11016,Haier/海尔,Haier/海尔,海尔,Haier,600690 CH EQUITY,50936001,燃气灶,493,357777.0
21539697,Sunflower/圣之花,SunFlower/圣之花,圣之花,Fuanna,002327 CH EQUITY,55158006,枕套,337,23753.0
94577551,Kinghome/晶弘,Kinghome/晶弘,晶弘,Gree,000651 CH EQUITY,54296798,冰箱,1938,3480262.0
21124,萤石,Ezviz/萤石,萤石,Hikvision,002415 CH EQUITY,50030219,配件专区,503,55286.0
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,50926011,干鞋器/擦鞋器,7968,301939.80000000005
31526399,Firs/杉杉,Firs/杉杉,杉杉,Shanshan,600884 CH EQUITY,50105599,短袖衬衫,2987,432933.0
43251,THREEGUN/三枪,THREEGUN/三枪,三枪,Shanghai Dragon,600630 CH EQUITY,54998010,睡衣套装,6845,888841.7
43251,THREEGUN/三枪,THREEGUN/三枪,三枪,Shanghai Dragon,600630 CH EQUITY,54998011,情侣睡衣套装,910,168256.0
3324837,贝比拉比,Beibi Labi/贝比拉比,贝比拉比,Labi,002762 CH EQUITY,54312943,奶瓶清洗,44,1372.7
30148,Wanlima/万里马,Wanlima/万里马,万里马,Wanlima,300591 CH EQUITY,50034691,流苏靴,43,23037.0
29519,Septwolves/七匹狼,Septwolves/七匹狼,七匹狼,Septwolves,002029 CH EQUITY,54308098,袜子/内衣配件,137856,7025609.299999997
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,55362009,加厚棉衣,38,10724.0
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,54288101,长袖衬衫,22499,2449482.0
29473,Busen/步森,BUSEN/步森,步森,Busen Garments,002569 CH EQUITY,50074111,西裤,80,17830.0
543176905,PEARL RIVER/珠江啤酒,PEARL RIVER/珠江啤酒,珠江啤酒,Zhujiang Brewery,002461 CH EQUITY,50072041,各地啤酒,1641,145102.5
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,54296652,鞋刷/鞋擦,2570,20593.0
8772749,Giuseppe/乔治白,GIUSEPPE/乔治白,乔治白,Giuseppe Garment,002687 CH EQUITY,55882012,印花衬衫,909,188370.0
149474648,LIVEN/利仁,LIVEN/利仁,利仁,LIVEN,838907 CH EQUITY,54312953,电饭煲,34,5706.0
29519,Septwolves/七匹狼,Septwolves/七匹狼,七匹狼,Septwolves,002029 CH EQUITY,56516007,短款羽绒,573,285147.0
3583923,Nature&rsquo;s Bounty/自然之宝,Naturesbounty/自然之宝,自然之宝,By-health,300146 CH EQUITY,56364006,体重管理,971,99015.0
3583923,Nature&rsquo;s Bounty/自然之宝,Naturesbounty/自然之宝,自然之宝,By-health,300146 CH EQUITY,56364007,脑力智力,1852,279614.0
3583923,Nature&rsquo;s Bounty/自然之宝,Naturesbounty/自然之宝,自然之宝,By-health,300146 CH EQUITY,56364004,美容养颜,7708,864003.7
3583923,Nature&rsquo;s Bounty/自然之宝,Naturesbounty/自然之宝,自然之宝,By-health,300146 CH EQUITY,56364005,眼部保养,3969,721011.0
3583923,Nature&rsquo;s Bounty/自然之宝,Naturesbounty/自然之宝,自然之宝,By-health,300146 CH EQUITY,56364003,基础营养补充,15864,1675634.8
45467,Kaiser/凯撒,KAISER/凯撒,凯撒,Kaiser,002425 CH EQUITY,55734003,独家首发,0,0.0
45448,巴拉巴拉,BALABALA/巴拉巴拉,巴拉巴拉,Semir,002563 CH EQUITY,50300004,家居服/睡衣裤/裙/袍,8474,920296.0
3583923,Nature&rsquo;s Bounty/自然之宝,Naturesbounty/自然之宝,自然之宝,By-health,300146 CH EQUITY,56364009,增强抵抗力,2,178.0
60418984,Baker Dream/百钻,Baker Dream/百钻,百钻,Angel Yeast,600298 CH EQUITY,54292477,粮油/米面/速食,16216,177672.89999999997
11016,Haier/海尔,Haier/海尔,海尔,Haier,600690 CH EQUITY,50936005,电热水壶,15364,1582206.0
31526399,Firs/杉杉,Firs/杉杉,杉杉,Shanshan,600884 CH EQUITY,53306006,商务馆,20865,4606066.0
107381,PLANDOO/帕兰朵,Plandoo/帕兰朵,帕兰朵,NanJi E-Commerce,002127 CH EQUITY,55006010,全棉内裤,11347,712409.8999999999
3305573,gf/高夫,gf/高夫,高夫,Shanghai Jahwa,600315 CH EQUITY,54288669,洁面,107130,5405422.3
116562,海螺,CONCH/海螺,海螺,Shanghai Dragon,600630 CH EQUITY,54288351,商务衬衫,1316,327224.0
33459,昂立,Onlly/昂立,昂立,Onlly,600530 CH EQUITY,54290816,蛋白质/氨基酸,44,5632.0
113190408,Leader/统帅,Leader/统帅,统帅,Haier,600690 CH EQUITY,50924003,烟灶消套装,44,46356.0
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,54310411,居家拖鞋,7302,115588.55
113190408,Leader/统帅,Leader/统帅,统帅,Haier,600690 CH EQUITY,50924004,油烟机,787,520813.0
113190408,Leader/统帅,Leader/统帅,统帅,Haier,600690 CH EQUITY,50924005,冷柜,51,52249.0
21124,萤石,Ezviz/萤石,萤石,Hikvision,002415 CH EQUITY,56242007,其他智能设备,9,2551.0
21929,HYUNDAI/现代,HYUNDAI/现代,现代,Konka,000016 CH EQUITY,50918004,冰箱,121,195779.0
44618,REDDRAGONFLY/红蜻蜓,RED DRAGONFLY/红蜻蜓,红蜻蜓,Red Dragonfly,603116 CH EQUITY,54598006,运动鞋,12499,1339401.2000000002
105448665,Homa/奥马,Homa/奥马,奥马,Homa Appliances,002668 CH EQUITY,50924005,冷柜,37,33879.0
829108319,CAMICISSIMA/恺米切,CAMICISSIMA/恺米切,恺米切,Baoxiniao,002154 CH EQUITY,55882012,印花衬衫,605,375689.0
110070866,青苹果,青苹果,青苹果,Deli Household Glass,002571 CH EQUITY,54302730,瓷器/餐具,2846,64489.88
105529784,M＆G/晨光,M&G/晨光,晨光,M&G,603899 CH EQUITY,54300001,绘图测量用品,99689,589509.3000000003
105529784,M＆G/晨光,M&G/晨光,晨光,M&G,603899 CH EQUITY,54300002,财会用品,4577,33798.55
105529784,M＆G/晨光,M&G/晨光,晨光,M&G,603899 CH EQUITY,54300003,装订用品,95211,865103.0300000025
29462,Aokang/奥康,Aokang/奥康,奥康,Aokang,603001 CH EQUITY,52214001,登山鞋,893,239272.0
44618,REDDRAGONFLY/红蜻蜓,RED DRAGONFLY/红蜻蜓,红蜻蜓,Red Dragonfly,603116 CH EQUITY,55616001,棉靴/毛靴,1,439.0
29531,Youngor/雅戈尔,Youngor/雅戈尔,雅戈尔,Youngor,600177 CH EQUITY,55844012,全棉休闲裤,917,276046.0
130259,Semir/森马,Semir/森马,森马,Semir,002563 CH EQUITY,55856044,棉T恤,127174,7393352.059999999
60418984,Baker Dream/百钻,Baker Dream/百钻,百钻,Angel Yeast,600298 CH EQUITY,54308741,食用油,3151,35359.9
60418984,Baker Dream/百钻,Baker Dream/百钻,百钻,Angel Yeast,600298 CH EQUITY,54308740,调味品,16561,220060.49999999988
28006,Toread/探路者,Toread/探路者,探路者,Toread,300005 CH EQUITY,54298693,女子套头衫/卫衣,33,3797.0
95027373,Conant/康耐特,Conant/康耐特,康耐特,Conant Optics,300061 CH EQUITY,54302556,复古镜框,49,6499.0
28006,Toread/探路者,Toread/探路者,探路者,Toread,300005 CH EQUITY,54298697,外套,7,763.0
130259,Semir/森马,Semir/森马,森马,Semir,002563 CH EQUITY,52078001,棉靴/毛靴,19,2411.0
92678117,VENTI/梵迪,VENTI/梵迪,梵迪,CHJ,002345 CH EQUITY,53926008,其他天然宝石,0,0.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304879,甜美优雅,169,65751.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304878,欧美街头,458,181412.0
21539697,Sunflower/圣之花,SunFlower/圣之花,圣之花,Fuanna,002327 CH EQUITY,52280001,六件套,11,8089.0
8770797,D：Fuse/迪芙斯,D:FUSE/迪芙斯,迪芙斯,Saturday Co,002291 CH EQUITY,54294894,女士雨鞋,21,8379.0
109718,PEACEBIRD/太平鸟,PEACEBIRD/太平鸟,太平鸟,Peacebird,603877 CH EQUITY,53446004,商场同款,4091,3083629.0
