BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
6137723,古井,古井,古井,Gujing Distillery,000596 CH EQUITY,,,0,0.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288467,钻石,1065,1631564.0
3649666,和泰,和泰,和泰,Golden Seed Winery,600199 CH EQUITY,54300189,电工五金,2,3680.0
67577352,皇氏乳业,皇氏乳业,皇氏乳业,Royal Group,002329 CH EQUITY,54310650,进口食品,25,2313.0
8112283,zuo,Zuo,zuo,Hongdo,600400 CH EQUITY,54288004,男装,33,5217.0
78005572,Alliance Hao Food/联豪食品,联豪食品,Alliance Hao Food/联豪食品,Shanghai Maling,600073 CH EQUITY,55036007,生鲜水果,19135,743001.6000000001
3469518,米莱,米莱彩宝,米莱,Gansu Gangtai,600687 CH EQUITY,55566012,K金饰品,165,165790.0
3220372,索菲亚,Sogal/索菲亚衣柜,索菲亚,Suofeiya,002572 CH EQUITY,,,8133,7614921.0
92530,GE/通用电气,GE Appliance,GE/通用电气,Haier,600690 CH EQUITY,54300004,3C数码配件,0,0.0
26846034,明牌珠宝,明牌珠宝（MINGR 明）,明牌珠宝,Ming Jewelry,002574 CH EQUITY,54288467,钻石,0,0.0
142290766,marie n°mary/玛丽安玛丽,marie n°mary/玛丽安玛丽,marie n°mary/玛丽安玛丽,Lancy,002612 CH EQUITY,54288726,T恤,18,2735.0
15131782,桃李,Toly Bread/桃李面包,桃李,Toly Bread,603866 CH EQUITY,,,604,18739.1
449440732,Dbln/东博利尼,TOMBOLINI/东博利尼,Dbln/东博利尼,Baoxiniao,002154 CH EQUITY,54288004,男装,0,0.0
3560008,速美,速美超级家,速美,Dong Yi Ri Sheng,002713 CH EQUITY,55786004,全案装修,76,7509.0
200188624,BIEM.L.FDLKK/比音勒芬,BIEM.L.FDLKK/比音勒芬,BIEM.L.FDLKK/比音勒芬,BIEM.L.FDLKK,002832 CH EQUITY,54288004,男装,683,326996.0
8295498,IRO,IRO ,IRO,ELLASSAY,603808 CH EQUITY,54288726,T恤,0,0.0
80881,梦洁,梦洁家纺,梦洁,Mendale Home,002397 CH EQUITY,54298433,居家布艺,699,74112.5
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,54294579,内衣,50,27544.0
106720579,尹默,尹默,尹默,Anzheng Fashion,603839 CH EQUITY,54290107,女装,404,239980.0
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,54304521,运动用品/健身,6,6860.0
10273819,屯河,COFCO Tunhe/中粮屯河,屯河,COFCO Tunhe,600737 CH EQUITY,54290798,营养保健,46,36066.0
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,54302516,眼镜/配饰,0,0.0
